Class ID,Course Code,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
01257,,Cancel,40,0,INTRODUCTION TO DATABASE [R],R,-,Theory,Wednesday,8:00 AM,10:00 AM,9412,FACULTY OF SCIENCE & TECHNOLOGY
01257,,Cancel,40,0,INTRODUCTION TO DATABASE [R],R,-,Lab,Monday,8:00 AM,10:20 AM,DN0110,FACULTY OF SCIENCE & TECHNOLOGY
01258,,Open,40,40,INTRODUCTION TO DATABASE [S],S,-,Theory,Wednesday,10:20 AM,12:20 PM,9211,FACULTY OF SCIENCE & TECHNOLOGY
01258,,Open,40,40,INTRODUCTION TO DATABASE [S],S,-,Lab,Monday,10:20 AM,12:40 PM,DS0205,FACULTY OF SCIENCE & TECHNOLOGY
01259,,Open,40,40,INTRODUCTION TO DATABASE [T],T,-,Theory,Wednesday,12:40 PM,2:40 PM,9201,FACULTY OF SCIENCE & TECHNOLOGY
01259,,Open,40,40,INTRODUCTION TO DATABASE [T],T,-,Lab,Monday,12:40 PM,3:00 PM,DN0110,FACULTY OF SCIENCE & TECHNOLOGY
01260,,Cancel,40,0,INTRODUCTION TO DATABASE [U],U,-,Theory,Wednesday,3:00 PM,5:00 PM,9407,FACULTY OF SCIENCE & TECHNOLOGY
01260,,Cancel,40,0,INTRODUCTION TO DATABASE [U],U,-,Lab,Monday,3:00 PM,5:20 PM,DS0105,FACULTY OF SCIENCE & TECHNOLOGY
01261,,Open,40,40,INTRODUCTION TO DATABASE [V],V,-,Theory,Tuesday,8:00 AM,10:00 AM,9410,FACULTY OF SCIENCE & TECHNOLOGY
01261,,Open,40,40,INTRODUCTION TO DATABASE [V],V,-,Lab,Sunday,8:00 AM,10:20 AM,DN0110,FACULTY OF SCIENCE & TECHNOLOGY
01262,,Open,40,40,INTRODUCTION TO DATABASE [W],W,-,Theory,Tuesday,10:20 AM,12:20 PM,9208,FACULTY OF SCIENCE & TECHNOLOGY
01262,,Open,40,40,INTRODUCTION TO DATABASE [W],W,-,Lab,Sunday,10:20 AM,12:40 PM,DS0202,FACULTY OF SCIENCE & TECHNOLOGY
01263,,Reserved,40,2,INTRODUCTION TO DATABASE [X],X,-,Theory,Monday,8:00 AM,10:00 AM,9206,FACULTY OF SCIENCE & TECHNOLOGY
01263,,Reserved,40,2,INTRODUCTION TO DATABASE [X],X,-,Lab,Wednesday,8:00 AM,10:20 AM,DS0203,FACULTY OF SCIENCE & TECHNOLOGY
01264,,Open,40,39,INTRODUCTION TO DATABASE [Y],Y,-,Theory,Wednesday,12:40 PM,2:40 PM,9203,FACULTY OF SCIENCE & TECHNOLOGY
01264,,Open,40,39,INTRODUCTION TO DATABASE [Y],Y,-,Lab,Monday,12:40 PM,3:00 PM,DS0104,FACULTY OF SCIENCE & TECHNOLOGY
01265,,Open,40,29,INTRODUCTION TO DATABASE [Z],Z,-,Theory,Monday,3:00 PM,5:00 PM,9201,FACULTY OF SCIENCE & TECHNOLOGY
